Parcelle,n_cep,symptomes,date,picture_name,position_cm,position_organ,position_organ_2,symptom,organ+symptomes,total_perimeter_cm,dysfunctional_perimeter_cm_1,dysfunctional_perimeter_cm_2,dysfunctional_perimeter_cm_3,dysfunctional_perimeter_cm_4,necrotic_perimeter_1,necrotic_perimeter_2,necrotic_perimeter_3,necrotic_perimeter_4,necrotic_perimeter_5,Total_dysfunctional_perimeter,Total_necrotic_perimeter,Share_dysfunctional_perimeter,Share_necrotic_perimeter,Principal,Second,Third,Fourth,comment
III-5,71-55,ES1,28/7/21,D24,42,GU,GU,S,trunk_S,"16,497",920,,,,"1,396",,,,,"0,92","1,396","60,923,118","84,621,446","60,923,118",0,0,0,
III-5,71-55,ES1,28/7/21,D25,"43,5",GU,GU,S,trunk_S,"15,81",345,,,,"1,696",,,,,"0,35","1,696","24,443,815","107,273,877","24,443,815",0,0,0,
III-5,71-55,ES1,28/7/21,D26,"45,5",GU,GU,S,trunk_S,"11,967",299,,,,"3,228",,,,,"0,30","3,228","34,214,441","26,974,179","34,214,441",0,0,0,
III-5,71-55,ES1,28/7/21,D27,48,GU,GU,S,trunk_S,"9,429",181,,,,"2,363",,,,,"0,18","2,363","25,615,624","250,609,821","25,615,624",0,0,0,
III-5,71-55,ES1,28/7/21,D28,"50,5",rootstock,rootstock,S,trunk_S,"9,04",,,,,"2,349",,,,,"0,00","2,349",0,"259,845,133",0,0,0,0,
III-5,71-55,ES1,28/7/21,D29,52,rootstock,rootstock,S,trunk_S,"9,358",,,,,"1,967",,,,,"0,00","1,967",0,"210,194,486",0,0,0,0,
III-5,71-55,ES1,28/7/21,D30,54,rootstock,rootstock,S,trunk_S,"10,12",,,,,"2,222",,,,,"0,00","2,222",0,"219,565,217",0,0,0,0,
III-5,71-55,ES1,28/7/21,D31,"55,5",rootstock,rootstock,S,trunk_S,"9,103",,,,,"1,01",,,,,"0,00","1,01",0,"110,952,433",0,0,0,0,
III-5,71-55,ES1,28/7/21,D32,"57,5",rootstock,rootstock,S,trunk_S,"8,392",,,,,,,,,,"0,00",0,0,0,0,0,0,0,
III-5,72-90,ES3,28/7/21,D0,0,arm,D_arm,AS,arm_AS,"4,724",,,,,267,,,,,"0,00",267,0,"56,519,898",0,0,0,0,"3 rameaux sont présent sur la photo D0. chaque tige a été mesurée sur une ligne différente. Attention les lignes ont donc le même nom, peut etre faut il les différencier"
